Name,Current_Season,Next_Season,Current_Team,Next_Team,Current_Age,Target_Age,Current_PA,Target_PA,Current_wRC+,Target_wRC+,Current_wOBA,Target_wOBA,Current_BB%,Target_BB%,Current_K%,Target_K%,Current_ISO,Target_ISO,Current_AVG,Target_AVG,Current_BABIP,Target_BABIP,Current_Barrel%,Target_Barrel%,Current_HardHit%,Target_HardHit%,Current_Park_Factor,Next_Park_Factor
Dansby Swanson,2022,2023,ATL,CHC,28,29,696,638,117,105,0.337,0.325,0.07,0.103,0.261,0.241,0.17,0.172,0.277,0.244,0.348,0.297,0.108,0.109,0.4629999999999999,0.397,100,97
Dansby Swanson,2023,2024,CHC,CHC,29,30,638,593,105,97,0.325,0.307,0.103,0.091,0.241,0.243,0.172,0.148,0.244,0.242,0.297,0.3,0.109,0.092,0.397,0.427,97,97
Dansby Swanson,2024,2025,CHC,CHC,30,31,593,645,97,99,0.307,0.31,0.091,0.073,0.243,0.26,0.148,0.173,0.242,0.244,0.3,0.298,0.092,0.1169999999999999,0.427,0.477,97,97
Darell Hernaiz,2024,2025,OAK,ATH,22,23,135,197,50,65,0.23,0.266,0.081,0.086,0.2,0.122,0.05,0.075,0.192,0.231,0.234,0.25,0.01,0.032,0.3329999999999999,0.301,97,97
Darin Ruf,2020,2021,SFG,SFG,33,34,100,312,140,144,0.379,0.384,0.13,0.147,0.23,0.2789999999999999,0.241,0.248,0.276,0.271,0.322,0.344,0.094,0.142,0.4379999999999999,0.545,97,97
Darin Ruf,2021,2022,SFG,MULTI,34,35,312,388,144,89,0.384,0.291,0.147,0.1159999999999999,0.2789999999999999,0.271,0.248,0.135,0.271,0.204,0.344,0.258,0.142,0.086,0.545,0.405,97,100
Daulton Varsho,2020,2021,ARI,ARI,23,24,115,315,76,100,0.287,0.322,0.104,0.095,0.287,0.213,0.178,0.19,0.188,0.246,0.246,0.286,0.044,0.073,0.382,0.3989999999999999,101,101
Daulton Varsho,2021,2022,ARI,ARI,24,25,315,592,100,106,0.322,0.323,0.095,0.078,0.213,0.245,0.19,0.207,0.246,0.235,0.286,0.269,0.073,0.102,0.3989999999999999,0.355,101,101
Daulton Varsho,2022,2023,ARI,TOR,25,26,592,581,106,84,0.323,0.293,0.078,0.077,0.245,0.2319999999999999,0.207,0.169,0.235,0.22,0.269,0.256,0.102,0.073,0.355,0.36,101,100
Daulton Varsho,2023,2024,TOR,TOR,26,27,581,513,84,99,0.293,0.304,0.077,0.094,0.2319999999999999,0.267,0.169,0.194,0.22,0.214,0.256,0.262,0.073,0.062,0.36,0.34,100,100
Daulton Varsho,2024,2025,TOR,TOR,27,28,513,271,99,123,0.304,0.345,0.094,0.063,0.267,0.284,0.194,0.31,0.214,0.238,0.262,0.25,0.062,0.159,0.34,0.4029999999999999,100,100
David Bote,2020,2021,CHC,CHC,27,28,145,327,92,66,0.309,0.268,0.1169999999999999,0.083,0.276,0.223,0.208,0.131,0.2,0.199,0.228,0.235,0.105,0.099,0.523,0.437,97,97
David Bote,2021,2022,CHC,CHC,28,29,327,127,66,112,0.268,0.325,0.083,0.047,0.223,0.354,0.131,0.172,0.199,0.259,0.235,0.382,0.099,0.069,0.437,0.556,97,97
David Fletcher,2020,2021,LAA,LAA,26,27,230,665,121,69,0.35,0.273,0.087,0.047,0.109,0.09,0.106,0.062,0.319,0.262,0.348,0.287,0.005,0.0,0.178,0.157,100,100
David Fletcher,2021,2022,LAA,LAA,27,28,665,228,69,75,0.273,0.275,0.047,0.031,0.09,0.07,0.062,0.079,0.262,0.255,0.287,0.268,0.0,0.0,0.157,0.074,100,100
David Fry,2023,2024,CLE,CLE,27,28,113,392,105,129,0.321,0.347,0.071,0.107,0.265,0.214,0.178,0.185,0.238,0.263,0.299,0.307,0.127,0.074,0.3939999999999999,0.374,97,97
David Fry,2024,2025,CLE,CLE,28,29,392,157,129,63,0.347,0.258,0.107,0.057,0.214,0.369,0.185,0.192,0.263,0.171,0.307,0.213,0.074,0.091,0.374,0.3979999999999999,97,97
David Hamilton,2024,2025,BOS,BOS,26,27,317,194,94,60,0.305,0.26,0.069,0.067,0.252,0.242,0.146,0.136,0.248,0.198,0.316,0.234,0.0559999999999999,0.06,0.322,0.278,107,107
David Peralta,2020,2021,ARI,ARI,32,33,218,538,106,95,0.333,0.314,0.06,0.086,0.206,0.171,0.133,0.144,0.3,0.259,0.361,0.303,0.05,0.05,0.363,0.418,101,101
David Peralta,2021,2022,ARI,MULTI,33,34,538,490,95,104,0.314,0.315,0.086,0.084,0.171,0.233,0.144,0.164,0.259,0.251,0.303,0.307,0.05,0.085,0.418,0.444,101,100
David Peralta,2022,2023,MULTI,LAD,34,35,490,422,104,80,0.315,0.29,0.084,0.047,0.233,0.171,0.164,0.122,0.251,0.259,0.307,0.296,0.085,0.049,0.444,0.442,100,100
David Peralta,2023,2024,LAD,SDP,35,36,422,260,80,115,0.29,0.329,0.047,0.085,0.171,0.208,0.122,0.148,0.259,0.267,0.296,0.316,0.049,0.055,0.442,0.423,100,96
David Villar,2022,2023,SFG,SFG,25,26,181,140,124,51,0.344,0.244,0.099,0.079,0.32,0.321,0.224,0.169,0.231,0.145,0.3,0.173,0.091,0.138,0.364,0.325,97,97
Davis Schneider,2023,2024,TOR,TOR,24,25,141,454,175,80,0.424,0.277,0.149,0.104,0.305,0.317,0.328,0.151,0.276,0.191,0.369,0.257,0.178,0.12,0.384,0.38,100,100
Davis Schneider,2024,2025,TOR,TOR,25,26,454,227,80,127,0.277,0.351,0.104,0.159,0.317,0.264,0.151,0.202,0.191,0.234,0.257,0.28,0.12,0.14,0.38,0.411,100,100
Derek Hill,2024,2025,MULTI,MULTI,28,29,172,149,89,70,0.296,0.272,0.0289999999999999,0.06,0.326,0.322,0.179,0.112,0.241,0.216,0.32,0.313,0.11,0.1119999999999999,0.367,0.494,100,100
Didi Gregorius,2020,2021,PHI,PHI,30,31,237,408,116,69,0.348,0.275,0.063,0.061,0.118,0.1639999999999999,0.205,0.16,0.284,0.209,0.285,0.217,0.042,0.023,0.2789999999999999,0.266,101,101
Didi Gregorius,2021,2022,PHI,PHI,31,32,408,232,69,59,0.275,0.251,0.061,0.0559999999999999,0.1639999999999999,0.155,0.16,0.093,0.209,0.21,0.217,0.246,0.023,0.0279999999999999,0.266,0.228,101,101
Dominic Canzone,2023,2024,MULTI,SEA,25,26,182,188,81,88,0.282,0.28,0.044,0.096,0.176,0.282,0.179,0.185,0.22,0.196,0.237,0.229,0.121,0.111,0.426,0.444,100,91
Dominic Canzone,2024,2025,SEA,SEA,26,27,188,268,88,141,0.28,0.363,0.096,0.075,0.282,0.22,0.185,0.181,0.196,0.3,0.229,0.354,0.111,0.145,0.444,0.5,91,91
Dominic Fletcher,2023,2024,ARI,CHW,25,26,102,241,112,43,0.34,0.227,0.069,0.046,0.216,0.241,0.14,0.049,0.301,0.206,0.377,0.273,0.0409999999999999,0.018,0.397,0.266,101,99
Dominic Smith,2020,2021,NYM,NYM,25,26,199,493,166,84,0.412,0.291,0.07,0.065,0.226,0.2269999999999999,0.299,0.119,0.316,0.244,0.368,0.298,0.133,0.065,0.467,0.406,97,97
Dominic Smith,2021,2022,NYM,NYM,26,27,493,152,84,65,0.291,0.254,0.065,0.079,0.2269999999999999,0.243,0.119,0.09,0.244,0.194,0.298,0.263,0.065,0.071,0.406,0.465,97,97
Dominic Smith,2022,2023,NYM,WSN,27,28,152,586,65,91,0.254,0.306,0.079,0.08,0.243,0.155,0.09,0.112,0.194,0.254,0.263,0.286,0.071,0.066,0.465,0.308,97,101
Dominic Smith,2023,2024,WSN,MULTI,28,29,586,307,91,94,0.306,0.306,0.08,0.091,0.155,0.248,0.112,0.145,0.254,0.233,0.286,0.301,0.066,0.106,0.308,0.387,101,100
Dominic Smith,2024,2025,MULTI,SFG,29,30,307,225,94,111,0.306,0.325,0.091,0.067,0.248,0.187,0.145,0.132,0.233,0.284,0.301,0.329,0.106,0.042,0.387,0.355,100,97
Donovan Solano,2020,2021,SFG,SFG,32,33,203,344,125,105,0.357,0.324,0.049,0.073,0.192,0.1689999999999999,0.137,0.124,0.326,0.28,0.396,0.321,0.046,0.075,0.349,0.366,97,97
Donovan Solano,2021,2022,SFG,CIN,33,34,344,304,105,99,0.324,0.319,0.073,0.063,0.1689999999999999,0.201,0.124,0.101,0.28,0.284,0.321,0.349,0.075,0.059,0.366,0.406,97,105
Donovan Solano,2022,2023,CIN,MIN,34,35,304,450,99,114,0.319,0.338,0.063,0.089,0.201,0.222,0.101,0.109,0.284,0.282,0.349,0.366,0.059,0.061,0.406,0.437,105,102
Donovan Solano,2023,2024,MIN,SDP,35,36,450,309,114,117,0.338,0.333,0.089,0.071,0.222,0.21,0.109,0.131,0.282,0.286,0.366,0.346,0.061,0.037,0.437,0.374,102,96
Donovan Solano,2024,2025,SDP,MULTI,36,37,309,179,117,82,0.333,0.277,0.071,0.045,0.21,0.223,0.131,0.09,0.286,0.247,0.346,0.304,0.037,0.039,0.374,0.375,96,100
Drew Waters,2022,2023,KCR,KCR,23,24,109,337,123,83,0.347,0.296,0.11,0.08,0.367,0.318,0.24,0.149,0.24,0.228,0.353,0.321,0.123,0.1009999999999999,0.281,0.359,104,104
Dylan Carlson,2020,2021,STL,STL,21,22,119,619,66,111,0.264,0.336,0.067,0.092,0.294,0.246,0.164,0.172,0.2,0.266,0.26,0.332,0.092,0.07,0.421,0.311,100,100
Dylan Carlson,2021,2022,STL,STL,22,23,619,488,111,98,0.336,0.306,0.092,0.092,0.246,0.193,0.172,0.144,0.266,0.236,0.332,0.281,0.07,0.044,0.311,0.272,100,100
Dylan Carlson,2022,2023,STL,STL,23,24,488,255,98,84,0.306,0.293,0.092,0.102,0.193,0.192,0.144,0.114,0.236,0.219,0.281,0.256,0.044,0.0579999999999999,0.272,0.376,100,100
Dylan Carlson,2023,2024,STL,MULTI,24,25,255,265,84,67,0.293,0.257,0.102,0.083,0.192,0.283,0.114,0.068,0.219,0.209,0.256,0.288,0.0579999999999999,0.025,0.376,0.258,100,100
Dylan Carlson,2024,2025,MULTI,BAL,25,26,265,241,67,74,0.257,0.273,0.083,0.087,0.283,0.2239999999999999,0.068,0.134,0.209,0.203,0.288,0.241,0.025,0.067,0.258,0.305,100,99
Dylan Crews,2024,2025,WSN,WSN,22,23,132,322,80,77,0.283,0.279,0.083,0.075,0.1969999999999999,0.236,0.134,0.143,0.218,0.208,0.253,0.246,0.064,0.0969999999999999,0.447,0.387,101,101
Dylan Moore,2020,2021,SEA,SEA,27,28,159,377,140,74,0.368,0.271,0.088,0.106,0.27,0.294,0.241,0.154,0.255,0.181,0.314,0.229,0.138,0.086,0.447,0.3329999999999999,91,91
Dylan Moore,2021,2022,SEA,SEA,28,29,377,255,74,127,0.271,0.338,0.106,0.133,0.294,0.294,0.154,0.161,0.181,0.224,0.229,0.32,0.086,0.128,0.3329999999999999,0.361,91,91
Dylan Moore,2022,2023,SEA,SEA,29,30,255,165,127,107,0.338,0.317,0.133,0.0969999999999999,0.294,0.3389999999999999,0.161,0.221,0.224,0.207,0.32,0.28,0.128,0.1689999999999999,0.361,0.449,91,91
Dylan Moore,2023,2024,SEA,SEA,30,31,165,441,107,106,0.317,0.306,0.0969999999999999,0.12,0.3389999999999999,0.2789999999999999,0.221,0.166,0.207,0.201,0.28,0.267,0.1689999999999999,0.088,0.449,0.363,91,91
Dylan Moore,2024,2025,SEA,MULTI,31,32,441,243,106,83,0.306,0.28,0.12,0.0819999999999999,0.2789999999999999,0.337,0.166,0.174,0.201,0.201,0.267,0.256,0.088,0.086,0.363,0.3429999999999999,91,100
Eddie Rosario,2020,2021,MIN,MULTI,28,29,231,412,112,100,0.333,0.316,0.0819999999999999,0.063,0.147,0.148,0.219,0.177,0.257,0.259,0.248,0.273,0.062,0.059,0.354,0.358,102,100
Eddie Rosario,2021,2022,MULTI,ATL,29,30,412,270,100,63,0.316,0.258,0.063,0.063,0.148,0.252,0.177,0.116,0.259,0.212,0.273,0.267,0.059,0.054,0.358,0.33,100,100
Eddie Rosario,2022,2023,ATL,ATL,30,31,270,516,63,101,0.258,0.322,0.063,0.066,0.252,0.236,0.116,0.195,0.212,0.255,0.267,0.3,0.054,0.095,0.33,0.354,100,100
Eddie Rosario,2023,2024,ATL,MULTI,31,32,516,319,101,44,0.322,0.23,0.066,0.05,0.236,0.241,0.195,0.141,0.255,0.175,0.3,0.196,0.095,0.053,0.354,0.425,100,100
Edmundo Sosa,2021,2022,STL,MULTI,25,26,326,190,102,81,0.322,0.282,0.052,0.026,0.193,0.263,0.118,0.142,0.271,0.227,0.326,0.304,0.039,0.055,0.319,0.297,100,100
Edmundo Sosa,2022,2023,MULTI,PHI,26,27,190,300,81,91,0.282,0.309,0.026,0.027,0.263,0.247,0.142,0.176,0.227,0.251,0.304,0.306,0.055,0.067,0.297,0.321,100,101
Edmundo Sosa,2023,2024,PHI,PHI,27,28,300,274,91,102,0.309,0.318,0.027,0.047,0.247,0.241,0.176,0.165,0.251,0.257,0.306,0.32,0.067,0.086,0.321,0.406,101,101
Edmundo Sosa,2024,2025,PHI,PHI,28,29,274,261,102,111,0.318,0.332,0.047,0.038,0.241,0.215,0.165,0.193,0.257,0.276,0.32,0.315,0.086,0.062,0.406,0.3779999999999999,101,101
Edouard Julien,2023,2024,MIN,MIN,24,25,408,301,134,79,0.366,0.278,0.157,0.11,0.314,0.3389999999999999,0.195,0.124,0.263,0.199,0.371,0.288,0.131,0.098,0.449,0.3779999999999999,102,102
Edouard Julien,2024,2025,MIN,MIN,25,26,301,208,79,81,0.278,0.286,0.11,0.106,0.3389999999999999,0.293,0.124,0.104,0.199,0.22,0.288,0.311,0.098,0.122,0.3779999999999999,0.423,102,102
Eduardo Escobar,2020,2021,ARI,MULTI,31,32,222,599,56,108,0.257,0.334,0.068,0.08,0.185,0.207,0.123,0.219,0.212,0.253,0.244,0.279,0.055,0.089,0.317,0.345,101,100
Eduardo Escobar,2021,2022,MULTI,NYM,32,33,599,542,108,104,0.334,0.311,0.08,0.074,0.207,0.238,0.219,0.19,0.253,0.24,0.279,0.281,0.089,0.094,0.345,0.376,100,97
Eduardo Escobar,2022,2023,NYM,MULTI,33,34,542,309,104,66,0.311,0.267,0.074,0.0579999999999999,0.238,0.252,0.19,0.118,0.24,0.226,0.281,0.286,0.094,0.038,0.376,0.3,97,100
Edward Olivares,2020,2021,MULTI,KCR,24,25,101,111,70,86,0.275,0.301,0.04,0.045,0.248,0.171,0.135,0.168,0.24,0.238,0.29,0.244,0.0559999999999999,0.06,0.278,0.31,100,104
Edward Olivares,2021,2022,KCR,KCR,25,26,111,174,86,109,0.301,0.326,0.045,0.057,0.171,0.207,0.168,0.124,0.238,0.286,0.244,0.344,0.06,0.063,0.31,0.389,104,104
Edward Olivares,2022,2023,KCR,KCR,26,27,174,385,109,106,0.326,0.329,0.057,0.057,0.207,0.166,0.124,0.189,0.286,0.263,0.344,0.289,0.063,0.079,0.389,0.377,104,104
Edward Olivares,2023,2024,KCR,PIT,27,28,385,196,106,74,0.329,0.276,0.057,0.0819999999999999,0.166,0.1889999999999999,0.189,0.109,0.263,0.224,0.289,0.25,0.079,0.064,0.377,0.355,104,101
Ehire Adrianza,2020,2021,MIN,ATL,30,31,101,209,60,95,0.257,0.316,0.109,0.1,0.228,0.201,0.079,0.154,0.191,0.247,0.258,0.29,0.03,0.0279999999999999,0.242,0.326,102,100
Ehire Adrianza,2021,2022,ATL,MULTI,31,32,209,110,95,39,0.316,0.222,0.1,0.1,0.201,0.2269999999999999,0.154,0.031,0.247,0.175,0.29,0.233,0.0279999999999999,0.0139999999999999,0.326,0.2189999999999999,100,100
Elehuris Montero,2022,2023,COL,COL,23,24,185,307,81,77,0.303,0.306,0.043,0.049,0.324,0.362,0.199,0.183,0.233,0.243,0.318,0.352,0.086,0.068,0.397,0.4429999999999999,112,112
Elehuris Montero,2023,2024,COL,COL,24,25,307,247,77,47,0.306,0.254,0.049,0.081,0.362,0.2269999999999999,0.183,0.098,0.243,0.205,0.352,0.251,0.068,0.076,0.4429999999999999,0.415,112,112
Eli White,2021,2022,TEX,TEX,27,28,220,117,57,66,0.253,0.26,0.0819999999999999,0.094,0.3,0.35,0.131,0.105,0.177,0.2,0.23,0.29,0.068,0.046,0.2269999999999999,0.292,101,101
Elias Diaz,2021,2022,COL,COL,30,31,371,381,91,68,0.33,0.284,0.081,0.066,0.162,0.215,0.219,0.14,0.246,0.228,0.249,0.27,0.079,0.059,0.376,0.3929999999999999,112,112
Elias Diaz,2022,2023,COL,COL,31,32,381,526,68,82,0.284,0.314,0.066,0.065,0.215,0.2239999999999999,0.14,0.142,0.228,0.267,0.27,0.324,0.059,0.062,0.3929999999999999,0.384,112,112
Elias Diaz,2023,2024,COL,MULTI,32,33,526,351,82,81,0.314,0.303,0.065,0.057,0.2239999999999999,0.1969999999999999,0.142,0.117,0.267,0.265,0.324,0.317,0.062,0.047,0.384,0.345,112,100
Elias Diaz,2024,2025,MULTI,SDP,33,34,351,283,81,74,0.303,0.269,0.057,0.074,0.1969999999999999,0.261,0.117,0.133,0.265,0.204,0.317,0.25,0.047,0.075,0.345,0.387,100,96
Elly De La Cruz,2023,2024,CIN,CIN,21,22,427,696,85,119,0.305,0.349,0.0819999999999999,0.099,0.337,0.313,0.175,0.212,0.235,0.259,0.336,0.359,0.085,0.127,0.4589999999999999,0.457,105,105
Elly De La Cruz,2024,2025,CIN,CIN,22,23,696,699,119,109,0.349,0.333,0.099,0.096,0.313,0.259,0.212,0.176,0.259,0.264,0.359,0.337,0.127,0.102,0.457,0.441,105,105
Eloy Jimenez,2020,2021,CHW,CHW,23,24,226,231,138,100,0.373,0.317,0.053,0.069,0.248,0.247,0.263,0.188,0.296,0.249,0.34,0.293,0.165,0.108,0.557,0.446,99,99
Eloy Jimenez,2021,2022,CHW,CHW,24,25,231,327,100,143,0.317,0.37,0.069,0.086,0.247,0.22,0.188,0.205,0.249,0.295,0.293,0.337,0.108,0.147,0.446,0.5489999999999999,99,99
Eloy Jimenez,2022,2023,CHW,CHW,25,26,327,489,143,106,0.37,0.325,0.086,0.061,0.22,0.19,0.205,0.169,0.295,0.272,0.337,0.305,0.147,0.093,0.5489999999999999,0.4679999999999999,99,99
Eloy Jimenez,2023,2024,CHW,MULTI,26,27,489,349,106,78,0.325,0.276,0.061,0.063,0.19,0.201,0.169,0.099,0.272,0.238,0.305,0.285,0.093,0.078,0.4679999999999999,0.49,99,100
Elvis Andrus,2020,2021,TEX,OAK,31,32,111,541,57,73,0.255,0.27,0.072,0.057,0.135,0.15,0.136,0.076,0.194,0.243,0.2,0.283,0.057,0.021,0.375,0.348,101,97
Elvis Andrus,2021,2022,OAK,MULTI,32,33,541,577,73,104,0.27,0.31,0.057,0.068,0.15,0.159,0.076,0.155,0.243,0.249,0.283,0.272,0.021,0.045,0.348,0.348,97,100
Elvis Andrus,2022,2023,MULTI,CHW,33,34,577,406,104,82,0.31,0.29,0.068,0.062,0.159,0.175,0.155,0.107,0.249,0.251,0.272,0.294,0.045,0.026,0.348,0.31,100,99
Emmanuel Rivera,2022,2023,MULTI,ARI,26,27,359,283,95,82,0.306,0.295,0.064,0.078,0.231,0.198,0.176,0.097,0.233,0.261,0.275,0.313,0.093,0.059,0.3829999999999999,0.4629999999999999,100,101
Emmanuel Rivera,2023,2024,ARI,MULTI,27,28,283,302,82,86,0.295,0.291,0.078,0.086,0.198,0.228,0.097,0.106,0.261,0.238,0.313,0.296,0.059,0.079,0.4629999999999999,0.441,101,100
Emmanuel Rivera,2024,2025,MULTI,BAL,28,29,302,127,86,64,0.291,0.258,0.086,0.047,0.228,0.1889999999999999,0.106,0.033,0.238,0.25,0.296,0.313,0.079,0.01,0.441,0.3229999999999999,100,99
Enmanuel Valdez,2023,2024,BOS,BOS,24,25,149,223,104,73,0.328,0.275,0.054,0.076,0.248,0.238,0.187,0.149,0.266,0.214,0.323,0.253,0.107,0.092,0.33,0.418,107,107
Enmanuel Valdez,2024,2025,BOS,PIT,25,26,223,102,73,82,0.275,0.29,0.076,0.108,0.238,0.157,0.149,0.154,0.214,0.209,0.253,0.233,0.092,0.08,0.418,0.427,107,101
Enrique Hernandez,2020,2021,LAD,BOS,28,29,148,585,81,109,0.29,0.338,0.0409999999999999,0.104,0.209,0.188,0.18,0.199,0.23,0.25,0.26,0.278,0.073,0.084,0.431,0.432,100,107
Enrique Hernandez,2021,2022,BOS,BOS,29,30,585,402,109,74,0.338,0.28,0.104,0.085,0.188,0.177,0.199,0.116,0.25,0.222,0.278,0.257,0.084,0.0579999999999999,0.432,0.35,107,107
Enrique Hernandez,2022,2023,BOS,MULTI,30,31,402,508,74,73,0.28,0.282,0.085,0.067,0.177,0.191,0.116,0.12,0.222,0.237,0.257,0.273,0.0579999999999999,0.045,0.35,0.337,107,100
Enrique Hernandez,2023,2024,MULTI,LAD,31,32,508,393,73,82,0.282,0.285,0.067,0.069,0.191,0.196,0.12,0.144,0.237,0.229,0.273,0.257,0.045,0.048,0.337,0.415,100,100
Enrique Hernandez,2024,2025,LAD,LAD,32,33,393,256,82,70,0.285,0.268,0.069,0.07,0.196,0.266,0.144,0.164,0.229,0.203,0.257,0.233,0.048,0.094,0.415,0.376,100,100
Eric Haase,2021,2022,DET,DET,28,29,381,351,100,111,0.316,0.322,0.068,0.068,0.312,0.276,0.228,0.189,0.231,0.254,0.278,0.316,0.1369999999999999,0.087,0.479,0.424,98,98
Eric Haase,2022,2023,DET,MULTI,29,30,351,293,111,42,0.322,0.233,0.068,0.0579999999999999,0.276,0.276,0.189,0.08,0.254,0.201,0.316,0.268,0.087,0.046,0.424,0.359,98,100
Eric Hosmer,2020,2021,SDP,SDP,30,31,156,565,128,104,0.359,0.319,0.0579999999999999,0.085,0.179,0.175,0.231,0.126,0.287,0.269,0.296,0.313,0.103,0.0579999999999999,0.47,0.47,96,96
Eric Hosmer,2021,2022,SDP,MULTI,31,32,565,419,104,104,0.319,0.313,0.085,0.088,0.175,0.153,0.126,0.113,0.269,0.268,0.313,0.304,0.0579999999999999,0.057,0.47,0.397,96,100
Eric Hosmer,2022,2023,MULTI,CHC,32,33,419,100,104,67,0.313,0.269,0.088,0.06,0.153,0.25,0.113,0.096,0.268,0.234,0.304,0.299,0.057,0.0579999999999999,0.397,0.348,100,97
Eric Sogard,2020,2021,MIL,CHC,34,35,128,180,55,61,0.254,0.259,0.086,0.05,0.156,0.1669999999999999,0.07,0.065,0.209,0.249,0.242,0.293,0.0,0.0069999999999999,0.146,0.149,97,97
Erik Gonzalez,2020,2021,PIT,PIT,28,29,193,229,60,48,0.262,0.244,0.0409999999999999,0.035,0.264,0.175,0.133,0.068,0.227,0.232,0.292,0.274,0.067,0.033,0.44,0.315,101,101
Ernie Clement,2021,2022,CLE,MULTI,25,26,133,179,74,32,0.275,0.209,0.053,0.061,0.143,0.145,0.107,0.025,0.231,0.184,0.253,0.217,0.038,0.036,0.248,0.257,97,100
Ernie Clement,2024,2025,TOR,TOR,28,29,452,588,94,98,0.297,0.308,0.024,0.046,0.091,0.104,0.145,0.121,0.263,0.277,0.266,0.296,0.038,0.024,0.249,0.26,100,100
Eugenio Suarez,2020,2021,CIN,CIN,28,29,231,574,100,85,0.332,0.306,0.13,0.098,0.29,0.298,0.268,0.23,0.202,0.198,0.214,0.224,0.144,0.15,0.447,0.3979999999999999,105,105
Eugenio Suarez,2021,2022,CIN,SEA,29,30,574,629,85,132,0.306,0.344,0.098,0.1159999999999999,0.298,0.312,0.23,0.223,0.198,0.236,0.224,0.302,0.15,0.148,0.3979999999999999,0.435,105,91
Eugenio Suarez,2022,2023,SEA,SEA,30,31,629,694,132,105,0.344,0.313,0.1159999999999999,0.1009999999999999,0.312,0.308,0.223,0.159,0.236,0.232,0.302,0.314,0.148,0.132,0.435,0.43,91,91
Eugenio Suarez,2023,2024,SEA,ARI,31,32,694,640,105,115,0.313,0.337,0.1009999999999999,0.077,0.308,0.275,0.159,0.214,0.232,0.256,0.314,0.309,0.132,0.113,0.43,0.424,91,101
Eugenio Suarez,2024,2025,ARI,MULTI,32,33,640,657,115,125,0.337,0.347,0.077,0.07,0.275,0.298,0.214,0.298,0.256,0.228,0.309,0.243,0.113,0.143,0.424,0.476,101,100
Evan Carter,2024,2025,TEX,TEX,21,22,162,220,81,107,0.278,0.321,0.093,0.086,0.265,0.186,0.174,0.144,0.188,0.247,0.227,0.291,0.059,0.059,0.324,0.346,101,101
Evan Longoria,2020,2021,SFG,SFG,34,35,209,291,93,123,0.308,0.352,0.053,0.12,0.187,0.2339999999999999,0.171,0.221,0.254,0.261,0.28,0.305,0.115,0.134,0.452,0.545,97,97
Evan Longoria,2021,2022,SFG,SFG,35,36,291,298,123,115,0.352,0.33,0.12,0.091,0.2339999999999999,0.2789999999999999,0.221,0.207,0.261,0.244,0.305,0.297,0.134,0.124,0.545,0.4679999999999999,97,97
Evan Longoria,2022,2023,SFG,ARI,36,37,298,237,115,91,0.33,0.308,0.091,0.0969999999999999,0.2789999999999999,0.308,0.207,0.199,0.244,0.223,0.297,0.277,0.124,0.106,0.4679999999999999,0.518,97,101
Evan White,2020,2021,SEA,SEA,24,25,202,104,67,24,0.261,0.197,0.089,0.0579999999999999,0.416,0.298,0.17,0.093,0.176,0.144,0.264,0.188,0.141,0.045,0.525,0.288,91,91
Ezequiel Duran,2022,2023,TEX,TEX,23,24,220,439,82,111,0.282,0.33,0.055,0.052,0.245,0.273,0.13,0.167,0.236,0.276,0.295,0.358,0.045,0.087,0.318,0.439,101,101
Ezequiel Duran,2023,2024,TEX,TEX,24,25,439,285,111,75,0.33,0.27,0.052,0.049,0.273,0.221,0.167,0.075,0.276,0.246,0.358,0.31,0.087,0.034,0.439,0.359,101,101
Ezequiel Duran,2024,2025,TEX,TEX,25,26,285,219,75,57,0.27,0.249,0.049,0.037,0.221,0.251,0.075,0.068,0.246,0.224,0.31,0.305,0.034,0.026,0.359,0.309,101,101
Ezequiel Tovar,2023,2024,COL,COL,21,22,615,695,72,94,0.298,0.324,0.0409999999999999,0.033,0.27,0.288,0.155,0.2,0.253,0.269,0.328,0.344,0.081,0.09,0.362,0.397,112,112
Ezequiel Tovar,2024,2025,COL,COL,22,23,695,390,94,78,0.324,0.301,0.033,0.054,0.288,0.251,0.2,0.147,0.269,0.253,0.344,0.322,0.09,0.093,0.397,0.389,112,112
Fernando Tatis Jr.,2020,2021,SDP,SDP,21,22,257,546,151,158,0.392,0.403,0.105,0.114,0.237,0.28,0.295,0.328,0.277,0.282,0.306,0.324,0.195,0.213,0.622,0.556,96,96
Fernando Tatis Jr.,2023,2024,SDP,SDP,24,25,635,438,111,135,0.332,0.359,0.083,0.073,0.222,0.2189999999999999,0.191,0.216,0.257,0.276,0.299,0.316,0.11,0.145,0.493,0.5579999999999999,96,96
Fernando Tatis Jr.,2024,2025,SDP,SDP,25,26,438,691,135,131,0.359,0.353,0.073,0.129,0.2189999999999999,0.187,0.216,0.178,0.276,0.268,0.316,0.303,0.145,0.109,0.5579999999999999,0.518,96,96
Franchy Cordero,2021,2022,BOS,BOS,26,27,136,275,30,92,0.222,0.304,0.059,0.102,0.375,0.335,0.071,0.178,0.189,0.219,0.307,0.313,0.052,0.123,0.4029999999999999,0.455,107,107
Francisco Alvarez,2023,2024,NYM,NYM,21,22,423,342,96,101,0.31,0.31,0.08,0.088,0.26,0.251,0.228,0.166,0.209,0.237,0.222,0.291,0.128,0.067,0.451,0.42,97,97
Francisco Alvarez,2024,2025,NYM,NYM,22,23,342,277,101,124,0.31,0.343,0.088,0.0969999999999999,0.251,0.264,0.166,0.191,0.237,0.256,0.291,0.321,0.067,0.121,0.42,0.5429999999999999,97,97
